backbone ,dataset    ,model ,bit ,Simple ,RML    ,RML-E  ,RML+KD ,RML-E+KD ,RML+H  ,RML_E+H
ResNet   ,cifar10    ,CSQ   , 16 ,0.8056 ,0.8253 ,0.8352 ,0.8396 ,  0.8332 ,0.8424 , 0.8334
ResNet   ,cifar10    ,CSQ   , 32 ,0.8098 ,0.8329 ,0.8387 ,0.8524 ,  0.8367 ,0.8510 , 0.8333
ResNet   ,cifar10    ,CSQ   , 64 ,0.8298 ,0.8452 ,0.8452 ,0.8588 ,  0.8425 ,0.8601 , 0.8384
ResNet   ,imagenet   ,CSQ   , 16 ,0.8936 ,0.8481 ,0.8146 ,0.8375 ,  0.8136 ,0.8417 , 0.8262
ResNet   ,imagenet   ,CSQ   , 32 ,0.9137 ,0.8763 ,0.8576 ,0.8730 ,  0.8547 ,0.8794 , 0.8655
ResNet   ,imagenet   ,CSQ   , 64 ,0.9190 ,0.8887 ,0.8786 ,0.8898 ,  0.8780 ,0.8889 , 0.8815
ResNet   ,imagenet-2 ,CSQ   , 16 ,       ,       ,       ,       ,         ,       ,  
ResNet   ,imagenet-2 ,CSQ   , 32 ,       ,       ,       ,       ,         ,       ,  
ResNet   ,imagenet-2 ,CSQ   , 64 ,       ,       ,       ,       ,         ,       ,  
ResNet   ,cifar10    ,DCH   , 16 ,0.7886 ,0.8370 ,0.8191 ,0.8325 ,  0.8235 ,0.8167 , 0.8246
ResNet   ,cifar10    ,DCH   , 16 ,0.7886 ,0.8370 ,0.8191 ,0.8325 ,  0.8235 ,0.8167 , 0.8246
ResNet   ,cifar10    ,DCH   , 32 ,0.8103 ,0.8554 ,0.8394 ,0.8417 ,  0.8362 ,0.8326 , 0.8492
ResNet   ,cifar10    ,DCH   , 64 ,0.8238 ,0.8582 ,0.8425 ,0.8434 ,  0.8426 ,0.8344 , 0.8547
ResNet   ,imagenet   ,DCH   , 16 ,0.9007 ,0.8541 ,0.8569 ,0.8563 ,  0.8542 ,0.8538 , 0.8588
ResNet   ,imagenet   ,DCH   , 32 ,0.9041 ,0.8654 ,0.8657 ,0.8660 ,  0.8638 ,0.8637 , 0.8688
ResNet   ,imagenet   ,DCH   , 64 ,0.8950 ,0.8659 ,0.8686 ,0.8601 ,  0.8667 ,0.8650 , 0.8739
ResNet   ,imagenet-2 ,DCH   , 16 ,       ,       ,       ,       ,         ,       ,  
ResNet   ,imagenet-2 ,DCH   , 32 ,       ,       ,       ,       ,         ,       ,  
ResNet   ,imagenet-2 ,DCH   , 64 ,       ,       ,       ,       ,         ,       ,  
ResNet   ,cifar10    ,DTSH  , 16 ,0.8079 ,0.8391 ,0.8158 ,0.8395 ,  0.8239 ,0.8269 , 0.8104
ResNet   ,cifar10    ,DTSH  , 32 ,0.8063 ,0.8505 ,0.8249 ,0.8571 ,  0.8311 ,0.8458 , 0.8148
ResNet   ,cifar10    ,DTSH  , 64 ,0.8312 ,0.8613 ,0.8276 ,0.8655 ,  0.8293 ,0.8499 , 0.8211
ResNet   ,imagenet   ,DTSH  , 16 ,0.8746 ,0.8042 ,0.7365 ,0.8060 ,  0.7438 ,0.8036 , 0.7430
ResNet   ,imagenet   ,DTSH  , 32 ,0.9019 ,0.8372 ,0.7684 ,0.8379 ,  0.7676 ,0.8430 , 0.7632
ResNet   ,imagenet   ,DTSH  , 64 ,0.9064 ,0.8495 ,0.7695 ,0.8494 ,  0.7811 ,0.8476 , 0.7692
ResNet   ,imagenet-2 ,DTSH  , 16 ,       ,       ,       ,       ,         ,       ,  
ResNet   ,imagenet-2 ,DTSH  , 32 ,       ,       ,       ,       ,         ,       ,  
ResNet   ,imagenet-2 ,DTSH  , 64 ,       ,       ,       ,       ,         ,       ,  
